,EVENT_DATE,Attendance_Count,Sales_Count,AttendancePercentage,DAY,max_temp,min_temp,avgtemp,Rain,Snow,Weather,Temp,Temp_Diff,Promotions/Events,EVENT_USAGE_DATE,Sales_Singles_Count,Attendance_Singles_Count,Sales_Groups_Count,Attendance_Groups_Count,Sales_Packages_Count,Attendance_Packages_Count,Condition_Cloudy,Condition_Fog,Condition_Rain,Condition_Snow,Condition_Sunny,,,,,
25,5/24/24,4577,6132,0.75,Fri,77.5,57.3,67.6,45,0,CLEAR,85,17,Throwback Thursday - Jim Lonborg / School Field Trip Day,5/24/24,2038,1909,1243,974,2851,1694,0,0,0,0,1,,,,,
26,5/25/24,5143,6578,0.78,Sat,75.5,51.3,62.9,0,0,SUNNY,79,16,Uxbridge Town Takeover / 70s Serenade Fireworks,5/25/24,3114,2933,1142,901,2322,1309,0,0,0,0,1,,,,,
27,5/26/24,4671,6143,0.76,Sun,81.3,58.9,68.8,100,0,SUNNY,79,10,Bill Ballou Writers Series / Oxford Town Takeover / Faith & Family Day,5/26/24,2953,2752,595,500,2595,1419,0,0,1,0,0,,,,,
28,6/4/24,2121,4036,0.53,Tue,76,51.6,63,100,0,CLEAR,80,17,Brain Tumor Awareness Day / Brain Tumor Awareness Walk / Sunday Funday / Kids Run the Bases,6/4/24,637,544,851,619,2548,958,0,0,1,0,0,,,,,
29,6/5/24,2405,4538,0.53,Wed,79.2,55.6,66.3,100,0,PARTLY CLOUDY,80,14,ALS Awareness Day / Taco & Tequila Tuesday / BP Tuesday,6/5/24,538,470,979,778,3021,1157,0,0,1,0,0,,,,,
30,6/6/24,2532,5115,0.5,Thu,65.7,60.7,63.8,100,0,CLOUDY,74,10,"First Responder Wednesday / Los Wepas - Argentina, Chile, Paraguay, Uruguay, Bolivia",6/6/24,579,411,2036,1656,2500,465,0,0,1,0,0,,,,,
31,6/7/24,4748,7076,0.67,Fri,79.2,59.1,69,100,0,CLEAR,77,8,Malmo Oak Milkers / Throwback Thursday - Bill Lee / School Field Trip Day,6/7/24,1914,1571,2389,1694,2773,1483,0,1,0,0,0,,,,,
32,6/8/24,5585,8027,0.7,Sat,65.8,54.4,60.5,100,0,PARTLY CLOUDY,73,13,Indian Heritage Night / Oh So '80s Firework,6/8/24,2482,2171,3055,2096,2490,1318,0,0,1,0,0,,,,,
33,6/9/24,4403,7247,0.61,Sun,66.8,53.7,58.6,100,0,RAIN,55,4,On-Field Photo Day / Scout Sleepover / WooSox Scholar Class of '24 Induction,6/9/24,2071,1750,2581,1723,2595,930,0,0,1,0,0,,,,,
34,6/18/24,3523,5487,0.64,Tue,90.2,63.3,75.3,0,0,CLEAR,89,14,Bark in the Park / Sunday Funday / Kids Run the Bases / Springfield & 413 Town Takeover / Worcester Ruby Legs,6/18/24,1381,1182,1426,1165,2680,1176,1,0,0,0,0,,,,,
35,6/19/24,2217,4389,0.51,Wed,92.1,67.5,77,100,0,CLEAR,88,11,Peanut Allergy Friendly Week / Auburn Town Takeover / Taco & Tequlia Tuesday / BP Tuesday,6/19/24,822,687,767,562,2800,968,0,0,1,0,0,,,,,
36,6/20/24,2251,4559,0.49,Thu,92.9,65.3,76.7,100,0,CLEAR,93,16,Peanut Allergy Friendly Week / First Responder Wednesday / A Celebration of Juneteenth,6/20/24,729,593,1267,843,2563,815,0,0,1,0,0,,,,,
37,6/21/24,4471,7674,0.58,Fri,82.8,65.7,73,100,0,CLOUDY,67,6,Peanut Allergy Friendly Week / Throwback Thursday - Jim Rice / Framingham Town Takeover,6/21/24,1846,1434,2941,1922,2887,1115,0,0,1,0,0,,,,,
38,6/22/24,3944,7552,0.52,Sat,79.1,67.1,72.2,100,0,CLOUDY,63,9,Peanut Allergy Friendly Week / Irish Heritage Night / Motown & More Firework,6/22/24,2079,1418,3056,1741,2417,785,0,0,1,0,0,,,,,
39,6/23/24,4232,6644,0.64,Sun,87.6,62.5,72.5,100,0,CLOUDY,82,10,Peanut Allergy Friendly Week / Writers Series - Brian Abraham / Scout Sleepover / Make-A-Wish Day / Youth Clinic / Sunset Catch on the Field,6/23/24,2572,2158,1499,1025,2573,1049,0,0,1,0,0,,,,,
40,7/4/24,7097,9467,0.75,Thu,79.3,64.3,70.3,100,0,CLOUDY,77,7,Peanut Allergy Friendly Week / Sunday Funday / Pawsox Heritage Day / Kids Run the Bases,7/4/24,5238,4291,1292,1009,2937,1797,0,0,1,0,0,,,,,
41,7/5/24,5010,6909,0.73,Fri,86.1,68.4,75.5,100,0,CLOUDY,80,5,Fourth of July / Patriotic Fireworks / Throwback Thursday - Oil Can Boyd,7/5/24,3623,3041,754,545,2532,1424,0,1,0,0,0,,,,,
42,7/6/24,4606,7135,0.65,Sat,75.1,70.3,72.3,100,0,PARTLY CLOUDY,84,12,Pop Patriotic Fireworks,7/6/24,3014,2526,1618,822,2503,1258,0,0,1,0,0,,,,,
43,7/9/24,2349,4369,0.54,Tue,81.5,72,76.2,100,0,CLEAR,92,16,WooSox Foundation Youth Clinic / Fitchburg & Leominster & Gardner Town Takeover / MA Lottery State of Winning Day / Sunset Catch on the Field,7/9/24,1010,871,867,541,2492,937,0,0,1,0,0,,,,,
44,7/10/24,4205,7171,0.59,Wed,82.9,70.4,76.5,100,0,PARTLY CLOUDY,86,10,Taco & Tequila Tuesday / Jewish Heritage Night / BP Tuesday,7/10/24,1212,1031,3331,2401,2628,773,0,0,1,0,0,,,,,
45,7/11/24,3032,5065,0.6,Thu,83.2,72,76,100,0,CLEAR,88,12,First Responder Wednesday / STEM Day / Player Autograph Day,7/11/24,1174,1035,1334,925,2557,1072,0,0,1,0,0,,,,,
46,7/12/24,5478,8221,0.67,Fri,87.7,65.2,75.5,45,0,CLEAR,84,9,Millbury Town Takeover / Throwback Thursday - Bob Stanley,7/12/24,2528,2161,3056,1884,2637,1433,0,1,0,0,0,,,,,
47,7/13/24,5328,7320,0.73,Sat,83.3,68.7,74.1,100,0,PARTLY CLOUDY,84,10,Los Wepas de Worcester - Central America / Gettin' Jiggy with the '90s Fireworks,7/13/24,2847,2530,2097,1567,2376,1231,0,0,1,0,0,,,,,
